review_id,product_id,review_text,rating,date
R0001,P0007,Average quality for the price.,2,2023-02-02
R0002,P0036,Not satisfied. Received wrong color.,1,2024-08-17
R0003,P0024,Battery life could be better.,3,2024-02-21
R0004,P0038,Good value for money and works as expected.,4,2023-09-17
R0005,P0001,Terrible experience overall.,5,2024-09-06
R0006,P0021,Absolutely loved it! Highly recommend.,1,2024-02-27
R0007,P0041,Battery life could be better.,3,2023-07-24
R0008,P0047,It stopped working after a week.,3,2024-02-19
R0009,P0023,Absolutely loved it! Highly recommend.,4,2024-05-22
R0010,P0020,Perfect product! Worth every rupee.,3,2024-03-11
R0011,P0013,Absolutely loved it! Highly recommend.,5,2023-01-28
R0012,P0046,Terrible experience overall.,2,2024-06-28
R0013,P0048,Perfect product! Worth every rupee.,3,2023-08-19
R0014,P0031,Battery life could be better.,4,2023-08-11
R0015,P0049,Battery life could be better.,1,2023-07-18
R0016,P0003,Not satisfied. Received wrong color.,4,2023-09-13
R0017,P0014,Perfect product! Worth every rupee.,3,2023-09-09
R0018,P0017,Item was defective upon arrival.,2,2023-09-09
R0019,P0004,Fast delivery and great performance.,4,2023-09-08
R0020,P0023,Terrible experience overall.,4,2024-08-03
R0021,P0039,Fast delivery and great performance.,4,2024-05-14
R0022,P0029,It stopped working after a week.,1,2023-04-28
R0023,P0017,Excellent quality and delivery!,2,2023-01-10
R0024,P0011,Amazing! Would buy again.,3,2023-03-03
R0025,P0040,Not satisfied. Received wrong color.,4,2024-07-31
R0026,P0028,Excellent quality and delivery!,3,2024-02-04
R0027,P0029,Fast delivery and great performance.,3,2023-08-06
R0028,P0031,Very poor customer support experience.,1,2023-07-27
R0029,P0033,Absolutely loved it! Highly recommend.,3,2023-12-14
R0030,P0048,Excellent quality and delivery!,1,2023-09-05
R0031,P0002,Terrible experience overall.,1,2023-12-21
R0032,P0041,Fast delivery and great performance.,4,2023-02-10
R0033,P0049,Excellent quality and delivery!,2,2024-06-24
R0034,P0008,Battery life could be better.,4,2024-10-18
R0035,P0027,Very poor customer support experience.,2,2024-03-23
R0036,P0017,It stopped working after a week.,4,2024-08-02
R0037,P0015,Very poor customer support experience.,3,2023-08-27
R0038,P0011,Very poor customer support experience.,2,2023-10-10
R0039,P0024,Perfect product! Worth every rupee.,1,2023-08-12
R0040,P0022,Absolutely loved it! Highly recommend.,2,2024-06-02
R0041,P0011,Battery life could be better.,1,2023-08-23
R0042,P0020,Amazing! Would buy again.,1,2023-06-05
R0043,P0035,Excellent quality and delivery!,2,2023-05-12
R0044,P0009,Very poor customer support experience.,2,2023-03-04
R0045,P0046,Very poor customer support experience.,2,2024-08-26
R0046,P0044,Item was defective upon arrival.,1,2024-07-13
R0047,P0010,Fast delivery and great performance.,1,2023-03-17
R0048,P0037,Good value for money and works as expected.,5,2024-08-22
R0049,P0031,Good value for money and works as expected.,2,2023-12-21
R0050,P0015,Exceeded expectations!,1,2023-09-24
R0051,P0029,Amazing! Would buy again.,1,2024-03-12
R0052,P0014,Perfect product! Worth every rupee.,3,2024-05-19
R0053,P0005,Battery life could be better.,2,2023-03-03
